model,accuracy,precision,recall,f1,roc_auc,pr_auc
LightGBM,0.9885,0.8260869565217391,0.8382352941176471,0.8321167883211679,0.9794330775788576,0.8973073247852235
RandomForest,0.9835,0.7108433734939759,0.8676470588235294,0.7814569536423841,0.984038180489587,0.8614937042768624
XGBoost,0.982,0.686046511627907,0.8676470588235294,0.7662337662337663,0.9821504688832055,0.8792080146379804
LogisticRegression,0.8635,0.1826625386996904,0.8676470588235294,0.30179028132992325,0.9375761174034831,0.4431622490985954
